Label,Feature,Reference,Start,Stop,K,dK,Peak,Back,PtoB
III-E K412[0][all],Ca L3-M1 + 6 others,CaF2 std,20,52,0.7074750160468453,0.0013241681617371002,489543.0,459236.0182008629,34.10690704796849
III-E K412[1][all],Ca L3-M1 + 6 others,CaF2 std,20,52,0.703938662034564,0.00132735538172362,489492.0,459343.0044443151,34.095410770019896
III-E K412[2][all],Ca L3-M1 + 6 others,CaF2 std,20,52,0.7125894721426108,0.0013332213062996292,490046.0,459574.4632947231,34.116808309205354
III-E K412[3][all],Ca L3-M1 + 6 others,CaF2 std,20,52,0.7083326853988617,0.001333515267827444,492060.0,461821.58704066294,34.09033494602275
III-E K412[4][all],Ca L3-M1 + 6 others,CaF2 std,20,52,0.7087133990507073,0.001332042851302201,491457.0,461207.63140693045,34.093883742071384
III-E K412[0][all],O K-L3 + 1 other,Al2O3 std,41,65,0.31651273244844774,9.983439599029795e-5,919385.0,512621.27848431986,43.037742542938226
III-E K412[0][all],O K-L3 + 1 other,Al2O3 std,41,65,0.3165127324484474,9.983439599029796e-5,919385.0,512621.2784843203,43.03774254293819
III-E K412[1][all],O K-L3 + 1 other,Al2O3 std,41,65,0.3174785261481967,9.993414523612782e-5,920791.0,512873.9753029574,43.082321993920424
III-E K412[1][all],O K-L3 + 1 other,Al2O3 std,41,65,0.3174785261481969,9.993414523612775e-5,920791.0,512873.9753029572,43.08232199392044
III-E K412[2][all],O K-L3 + 1 other,Al2O3 std,41,65,0.3177047936021712,0.00010011068337741932,921244.0,513677.7918781852,43.036067609437225
III-E K412[2][all],O K-L3 + 1 other,Al2O3 std,41,65,0.31770479360217185,0.0001001106833774193,921244.0,513677.7918781842,43.0360676094373
III-E K412[3][all],O K-L3 + 1 other,Al2O3 std,41,65,0.3198846608130524,0.0001005073479871704,925396.0,515725.6121890367,43.05837310884686
III-E K412[3][all],O K-L3 + 1 other,Al2O3 std,41,65,0.31988466081305234,0.00010050734798717039,925396.0,515725.6121890368,43.05837310884685
III-E K412[4][all],O K-L3 + 1 other,Al2O3 std,41,65,0.31909888070492615,0.0001004386630450786,923711.0,515118.4935545783,43.03062680166707
III-E K412[4][all],O K-L3 + 1 other,Al2O3 std,41,65,0.3190988807049257,0.00010043866304507857,923711.0,515118.493554579,43.030626801667005
III-E K412[0][all],Fe L3-M5 + 9 others,Fe std,50,91,0.04229364710870514,0.00010662078879647335,905587.0,843484.6585038536,44.01232439745956
III-E K412[1][all],Fe L3-M5 + 9 others,Fe std,50,91,0.04192593639106722,0.00010634757602343658,906343.0,844793.8502675776,43.98080305527759
III-E K412[2][all],Fe L3-M5 + 9 others,Fe std,50,91,0.04229947795924395,0.00010660654592277701,907061.0,845061.0670702646,44.00172621934816
III-E K412[3][all],Fe L3-M5 + 9 others,Fe std,50,91,0.04183743649164813,0.00010650895972628723,910468.0,849248.7457605461,43.94921132736274
III-E K412[4][all],Fe L3-M5 + 9 others,Fe std,50,91,0.04120649594381612,0.00010656825862323889,907945.0,847659.5353331801,43.90959216673023
III-E K412[0][all],Mg K-L3 + 1 other,MgO std,112,140,0.14838982441020682,4.522907005744184e-5,1.136417e6,207641.39146907243,153.22134831385367
III-E K412[1][all],Mg K-L3 + 1 other,MgO std,112,140,0.14831002957315784,4.5242062253231444e-5,1.136008e6,207931.7671784946,152.95230761176975
III-E K412[2][all],Mg K-L3 + 1 other,MgO std,112,140,0.14873460410388037,4.53346468006282e-5,1.13698e6,207709.65799824486,153.24687356092494
III-E K412[3][all],Mg K-L3 + 1 other,MgO std,112,140,0.148916736309326,4.540890052505914e-5,1.136587e6,207748.2592500425,153.1654387674947
III-E K412[4][all],Mg K-L3 + 1 other,MgO std,112,140,0.1490219177228304,4.540228535687066e-5,1.136255e6,206922.943178982,153.73142354893352
