Label,FeL,SK,FeKa,FeKb
Pyrite_1_A1_15kV10nA130kHz_8kHz_100s,55.713184846825726,269.3830968975936,233.48493275856606,89.97459461280788
Pyrite_1_B1_15kV10nA130kHz_133kHz_100s,100.1915556580079,869.6475630190392,567.9981496576547,133.23318977901465
Pyrite_1_C1_15kV10nA130kHz_86kHz_100s,86.44629498626169,1069.028450389756,588.6905898225514,138.59757456514043
Pyrite_1_D1_15kV10nA130kHz_116kHz_100s,104.47193562818038,917.2709192435993,590.3698224123391,133.39379083918982
Pyrite_1_E1_15kV10nA130kHz_95kHz_100s,88.76631283177244,988.9840981142785,588.4475958201027,137.6686266261803
Pyrite_1_F1_15kV10nA130kHz_114kHz_100s,102.39121205320764,936.5697693237029,575.0586182374591,136.6212261085142
Pyrite_1_G1_15kV10nA130kHz_129kHz_100s,109.38914254372334,906.0550252019458,569.3679295085539,132.10818066244323
Pyrite_1_H1_15kV10nA130kHz_39kHz_100s,73.26479740447787,1117.7594014744059,616.0714071257395,157.40337093493727
Pyrite_1_I1_15kV10nA130kHz_129kHz_100s,108.74406237985005,902.1926887806123,580.8442722952678,133.2863836961053
Pyrite_1_J1_15kV10nA130kHz_28kHz_100s,70.63411417422729,1216.8835266213093,647.6120265047501,163.37379639512733
Pyrite_1_K1_15kV10nA130kHz_2kHz_100s,75.46979129195222,812.7340135850626,501.3394742642339,182.868304821262
Pyrite_1_L1_15kV10nA130kHz_114kHz_100s,102.5184900702331,934.4916024213021,589.8170034502824,138.05015104135035
Pyrite_1_M1_15kV10nA130kHz_129kHz_100s,109.01622535168464,903.6704860342686,575.258027469858,132.8353890586008
Pyrite_1_A2_15kV10nA130kHz_8kHz_100s,56.33189741391372,296.19069370453155,256.69136646936676,91.24572450817968
Pyrite_1_B2_15kV10nA130kHz_133kHz_100s,95.39085802551544,854.3948753644473,567.2430851359435,128.92098530644557
Pyrite_1_C2_15kV10nA130kHz_86kHz_100s,85.01618139954186,1012.4544366394597,577.3818338926056,135.76644387761468
Pyrite_1_D2_15kV10nA130kHz_116kHz_100s,97.21268712836772,906.7928239025281,579.6911041750254,131.64430779125036
Pyrite_1_E2_15kV10nA130kHz_95kHz_100s,82.55692069908473,965.5780178137594,574.8855880645043,132.1293723124687
Pyrite_1_F2_15kV10nA130kHz_114kHz_100s,96.55412683465237,899.4928004191747,581.2975107989682,134.83368176757656
Pyrite_1_G2_15kV10nA130kHz_129kHz_100s,101.25552602788117,873.300494529055,570.2304850772593,132.31223035327753
Pyrite_1_H2_15kV10nA130kHz_33kHz_100s,65.25333289928311,1104.440916524188,632.4939241776851,156.2905015902209
Pyrite_1_I2_15kV10nA130kHz_129kHz_100s,101.35761027964398,880.4300240554124,576.2821977964214,130.83289619679883
Pyrite_1_J2_15kV10nA130kHz_28kHz_100s,67.39238843724821,1131.5393108283574,634.7880840408721,152.7216821488019
Pyrite_1_K2_15kV10nA130kHz_2kHz_100s,72.56422611680046,785.0171084427028,569.0479218935008,175.40722621286693
Pyrite_1_L2_15kV10nA130kHz_114kHz_100s,95.08299731255508,904.7792076883703,587.5894450381753,134.09390753879177
Pyrite_1_M2_15kV10nA130kHz_129kHz_100s,100.9855356628781,876.4077043099269,570.3153393935603,129.66407323704337
Pyrite_1_A3_15kV10nA130kHz_8kHz_100s,57.912396241475456,297.97378791521,239.91892826610527,90.4587690877739
Pyrite_1_B3_15kV10nA130kHz_133kHz_100s,107.20758127273996,865.9915523934649,555.3876635422198,128.85270692779125
Pyrite_1_C3_15kV10nA130kHz_86kHz_100s,96.73350692680935,1052.6850738064481,578.4142300352977,134.4087006666286
Pyrite_1_D3_15kV10nA130kHz_116kHz_100s,110.86597079911607,927.5693558637921,561.7023089765898,131.4682736180961
Pyrite_1_E3_15kV10nA130kHz_95kHz_100s,92.70419535451828,973.9813215653422,573.1142484148536,131.66924921381522
Pyrite_1_F3_15kV10nA130kHz_114kHz_100s,109.90092004243611,921.9455700048893,565.9764833687289,132.86009177971658
Pyrite_1_G3_15kV10nA130kHz_129kHz_100s,117.10580620055055,884.5197956279893,559.5725992359071,130.34910011263972
Pyrite_1_H3_15kV10nA130kHz_31kHz_100s,72.5311955283071,1111.0243458137431,616.1003011901067,158.59022734060053
Pyrite_1_I3_15kV10nA130kHz_129kHz_100s,117.50924289681112,902.5405826422616,560.2270730215903,131.28693256452186
Pyrite_1_J3_15kV10nA130kHz_28kHz_100s,73.65718004322046,1220.862270004175,629.4294527925006,165.4350740158358
Pyrite_1_K3_15kV10nA130kHz_2kHz_100s,77.64900574886276,838.8239889775317,589.9004099179654,186.3471655522954
Pyrite_1_L3_15kV10nA130kHz_114kHz_100s,110.75631188886443,915.7691506484533,569.7949991097673,134.1692896251526
Pyrite_1_M3_15kV10nA130kHz_129kHz_100s,117.0482283626508,894.0396546206599,559.9330557213376,130.5171029116009
