Label,Feature,Reference,Start,Stop,K,dK,Peak,Back,PtoB
Pyrite_1_A1_15kV10nA130kHz_8kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.019104994279743152,0.0001712890852697328,41688.0,29571.499026551675,55.713184846825726
Pyrite_1_B1_15kV10nA130kHz_133kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.3894732404557968,0.0011704675832063629,1.45522e6,574007.8088812808,100.1915556580079
Pyrite_1_C1_15kV10nA130kHz_86kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.36581039605055116,0.000607363113194146,427385.0,195385.87165984703,86.44629498626169
Pyrite_1_D1_15kV10nA130kHz_116kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.0892484459005278,0.0010273331675992906,1.111135e6,420327.15877104923,104.47193562818038
Pyrite_1_E1_15kV10nA130kHz_95kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.5407802915130313,0.0007316174918030752,618199.0,275232.9235596252,88.76631283177244
Pyrite_1_F1_15kV10nA130kHz_114kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.06783730752093,0.0010249225773487998,1.102931e6,425702.2300453128,102.39121205320764
Pyrite_1_G1_15kV10nA130kHz_129kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.3304450524821658,0.001126334295815469,1.321046e6,477269.83668484446,109.38914254372334
Pyrite_1_H1_15kV10nA130kHz_39kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.09214035796311358,0.00030993014658327355,126874.0,68438.03709904948,73.26479740447787
Pyrite_1_I1_15kV10nA130kHz_129kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.3224457145863742,0.001124722643861872,1.317524e6,478821.0643436494,108.74406237985005
Pyrite_1_J1_15kV10nA130kHz_28kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.07038996125546677,0.0002680250413958191,101345.0,56703.2680222441,70.63411417422729
Pyrite_1_K1_15kV10nA130kHz_2kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.019369181063443142,0.0001468015457396834,25788.0,13504.073037931905,75.46979129195222
Pyrite_1_L1_15kV10nA130kHz_114kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.0732188466085655,0.0010287033741963078,1.107625e6,426983.22595647525,102.5184900702331
Pyrite_1_M1_15kV10nA130kHz_129kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.3339389657596896,0.001128806824766745,1.327083e6,481090.97610889305,109.01622535168464
Pyrite_1_A2_15kV10nA130kHz_8kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.02121766325212046,0.00017550654237077202,42658.0,29927.21997249113,56.33189741391372
Pyrite_1_B2_15kV10nA130kHz_133kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.4402600378854553,0.0011939068853146337,1.475442e6,611273.6178903967,95.39085802551544
Pyrite_1_C2_15kV10nA130kHz_86kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.3813023088201865,0.000614790072339366,427520.0,198735.34261856473,85.01618139954186
Pyrite_1_D2_15kV10nA130kHz_116kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.1025829497834,0.0010377316684027935,1.114739e6,453179.768477579,97.21268712836772
Pyrite_1_E2_15kV10nA130kHz_95kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.5424905355439674,0.0007338932705838947,624403.0,298904.02337138745,82.55692069908473
Pyrite_1_F2_15kV10nA130kHz_114kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.0869467551885976,0.001035967586726961,1.104089e6,451911.61941415025,96.55412683465237
Pyrite_1_G2_15kV10nA130kHz_129kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,1.3372858984335125,0.001134601827722285,1.316035e6,513651.9852188985,101.25552602788117
Pyrite_1_H2_15kV10nA130kHz_33kHz_100s,Fe L3-M5 + 9 others,FeS,198,277,0.07146873562187525,0.0002720283600140304,108739.0,65857.14532849882,65.25333289928311
